settlement_id,payment_id,order_id,gross,mdr,gst_on_mdr,net,utr,settlement_date,on_hold,method,dispute_id
setl_07ca6868ff59bb,pay_22dd943213ac16,order_1400,1499,29.98,5.4,1463.62,UTR9318793788,2026-08-19,False,UPI,
setl_aa39ad68466134,pay_f1c098c4dde69f,order_1468,499,9.98,1.8,337.52,UTR2143209173,2026-08-18,False,Card,
setl_2efbc2e1274ae4,pay_23922bc0cda562,order_1342,1499,29.98,5.4,1463.62,UTR4364114312,2026-08-03,False,UPI,
setl_b1091137d7016f,pay_b032b73ad44f07,order_1286,999,19.98,3.6,975.42,UTR5824092354,2026-08-20,False,Card,
setl_01b838dafa39d3,pay_afcb31257ba1be,order_1304,999,19.98,3.6,675.72,UTR3019130310,2026-08-11,False,Card,
setl_1b7e7300f36ca7,pay_fa5d5dc438fa46,order_1160,2499,49.98,9.0,2440.02,UTR5454064409,2026-08-03,False,UPI,
setl_df13d2fdb31bcd,pay_d64551c704f7ae,order_1276,4999,99.98,18.0,4881.02,UTR4728095498,2026-08-03,False,Netbanking,
setl_df11c379a1cb8d,pay_5dadf6ad4b4486,order_1349,2499,49.98,9.0,2440.02,UTR2643199628,2026-08-22,False,UPI,
setl_ff3562b8ada696,pay_7b0a54ff4046ff,order_1138,1499,29.98,5.4,1463.62,UTR6709234482,2026-08-22,False,UPI,
setl_5ec12d5682921c,pay_27de7de089a809,order_1146,1499,29.98,5.4,1463.62,UTR4048739665,2026-08-13,False,UPI,
setl_8ef996fc7b88c0,pay_cabc507d835ab8,order_1410,1499,29.98,5.4,1463.62,UTR4400919539,2026-08-03,False,Card,
setl_5dc6dd62966ab1,pay_3f7d93597701ae,order_1223,9999,199.98,36.0,9763.02,UTR4738939076,2026-08-04,False,Netbanking,
setl_d4d04f24625618,pay_d98127fb590d54,order_1415,499,9.98,1.8,487.22,UTR6582684973,2026-08-18,False,UPI,
setl_7399f4fa49ab09,pay_0cea2759a64d36,order_1026,2499,49.98,9.0,2440.02,UTR8739238825,2026-08-12,False,Card,
setl_084db59a542a34,pay_ce03109b0b633d,order_1057,499,9.98,1.8,487.22,UTR4915196257,2026-08-20,False,Card,
setl_6a0224ca2df70d,pay_136da496133d78,order_1184,499,9.98,1.8,487.22,UTR7878818522,2026-08-13,False,UPI,
setl_2560bc76bc136b,pay_917401bc07a006,order_1159,2499,49.98,9.0,2440.02,UTR6836509775,2026-08-06,False,UPI,
setl_1f62fdcf7b6637,pay_2abf5e7e61fd2d,order_1056,999,19.98,3.6,975.42,UTR4287754238,2026-08-11,False,Card,
setl_a5534ea92b26fa,pay_68d9d9b0341314,order_1001,4999,99.98,18.0,4881.02,UTR8235363119,2026-08-10,False,Card,
setl_641dcf9efc58f1,pay_76b3016bf7f88d,order_1489,2499,49.98,9.0,2440.02,UTR9977393631,2026-08-17,False,UPI,
setl_8c1cfd4b36ff58,pay_3aaa223d8ade50,order_1482,999,19.98,3.6,975.42,UTR6280392812,2026-08-11,False,UPI,
setl_2eb1c7b2bda36a,pay_21f0e0c612fe35,order_1417,1499,29.98,5.4,1463.62,UTR6100488195,2026-08-21,False,UPI,
setl_24e672750bf5b7,pay_a2305242805558,order_1170,1499,29.98,5.4,1463.62,UTR3864261005,2026-08-21,False,Card,
setl_25dc71dc4c6081,pay_d3df6f747ba85f,order_1345,2499,49.98,9.0,2440.02,UTR8355970528,2026-08-06,False,Netbanking,
setl_613d8621790c81,pay_d2d9cd2a4b5793,order_1115,2499,49.98,9.0,2440.02,UTR7101791420,2026-08-07,False,UPI,
setl_98879705164eda,pay_600bc82e2e569d,order_1049,4999,99.98,18.0,4881.02,UTR9810503338,2026-08-18,False,UPI,
setl_d2a7c8d14f19d9,pay_7e0c12ec959ee0,order_1285,9999,199.98,36.0,9763.02,UTR4712200911,2026-08-13,False,Card,
setl_46703190bf6132,pay_faf0f6f4a75ce3,order_1212,1499,29.98,5.4,1463.62,UTR1415435433,2026-08-05,False,UPI,
setl_ca78d7abbea538,pay_20af25bb0300c7,order_1459,499,9.98,1.8,487.22,UTR1867562781,2026-08-04,False,Wallet,
setl_efc9eb9d39e5e6,pay_053fbeeae745cb,order_1375,999,19.98,3.6,975.42,UTR2381497437,2026-08-22,False,UPI,
setl_fe214016d1880a,pay_60ba036d89c09a,order_1429,1499,29.98,5.4,1463.62,UTR9368508491,2026-08-23,False,Netbanking,
setl_950b311ba64fb3,pay_75ea454d82505a,order_1323,9999,199.98,36.0,9763.02,UTR7739096956,2026-08-19,False,UPI,
setl_bf69252d55d728,pay_74bb246a03494b,order_1331,999,19.98,3.6,975.42,UTR9148126810,2026-08-18,False,Card,
setl_645a523e1f2b7c,pay_548418c8e5cf0a,order_1481,4999,99.98,18.0,4881.02,UTR5659467369,2026-08-18,False,Netbanking,
setl_eba0e7013d984b,pay_36e160ce44eec3,order_1382,2499,49.98,9.0,2440.02,UTR1658396389,2026-08-05,False,UPI,
setl_c01400c8a86b18_dup,pay_1798ffe2d95acf,order_1076,4999,99.98,18.0,4881.02,UTR2191714875,2026-08-07,False,UPI,
setl_1993a02b495dc9,pay_107630a97e0401,order_1176,4999,99.98,18.0,4881.02,UTR1293505358,2026-08-21,False,Card,
setl_7a45a0e84a3ed3,pay_ddd1c3c7b07c8f,order_1128,499,9.98,2.8,486.22,UTR8013290620,2026-08-10,False,UPI,
setl_2dcba43037777e_dup,pay_c395496655306a,order_1401,2499,49.98,9.0,2440.02,UTR1220530480,2026-08-07,False,Netbanking,
setl_5e73949500572d,pay_d4340a65cf7627,order_1377,2499,49.98,9.0,2440.02,UTR9699307064,2026-08-20,False,Card,
setl_2dcba43037777e,pay_c395496655306a,order_1401,2499,49.98,9.0,2440.02,UTR1220530480,2026-08-07,False,Netbanking,
setl_f3cf56c788a62d,pay_5d0499e0b21128,order_1378,999,19.98,3.6,975.42,UTR1683159457,2026-08-17,False,Netbanking,
setl_c91029a4a774c1,pay_50d962a0b3655b,order_1033,2499,49.98,9.0,2440.02,UTR8160279830,2026-08-06,False,UPI,disp_03fcc41762838a
setl_fcb002d427e06f,pay_71061b165b7ca8,order_1362,4999,99.98,18.0,4881.02,UTR1967379525,2026-08-05,False,UPI,
setl_6be58606b11ea7,pay_d97bcf122f907c,order_1389,4999,99.98,18.0,4881.02,UTR4760385504,2026-08-10,False,UPI,
setl_4c8c85282c524d,pay_9cddb47620f91c,order_1399,4999,99.98,18.0,4881.02,UTR4843300753,2026-08-19,False,UPI,
setl_98320302fc5698,pay_f98b9fda73ac40,order_1118,9999,199.98,37.0,9762.02,UTR4947836984,2026-08-05,False,UPI,
setl_f8809e21d03e0b,pay_a92391ffa76df9,order_1485,2499,49.98,9.0,2440.02,UTR7158856500,2026-08-17,False,UPI,
setl_0505636a2296a7,pay_7893a431fcb124,order_1025,4999,99.98,18.0,4881.02,UTR6292209057,2026-08-07,False,UPI,
setl_c5d6dd3a90c640,pay_bbc2db9e94b910,order_1134,4999,99.98,18.0,4881.02,UTR5937408591,2026-08-21,False,Card,
setl_66bc73698f8346,pay_affc916c257b84,order_1135,9999,199.98,36.0,9763.02,UTR1384806111,2026-08-21,False,UPI,
setl_24e672750bf5b7_dup,pay_a2305242805558,order_1170,1499,29.98,5.4,1463.62,UTR3864261005,2026-08-21,False,Card,
setl_3b4319e67ea5e4,pay_6d0324ae54ddaa,order_1464,499,9.98,1.8,487.22,UTR9581514476,2026-08-14,False,UPI,
setl_eaa83774c71cb5,pay_044bc6be91529d,order_1277,999,19.98,3.6,975.42,UTR1335079305,2026-08-23,False,UPI,
setl_7b98a690a24de6,pay_b43f6ff2403d6e,order_1080,9999,199.98,36.0,9763.02,UTR6661014794,2026-08-13,False,UPI,
setl_ed613448d3c57c,pay_2fae6f1eb60f4a,order_1324,2499,49.98,9.0,2440.02,UTR4342811602,2026-08-11,False,UPI,
setl_043da171fa0955,pay_befc7eb4c43af3,order_1386,1499,29.98,5.4,1463.62,UTR9244428918,2026-08-16,False,Card,
setl_6b4256830dc88c,pay_8f06c55c1038fd,order_1307,499,9.98,1.8,337.52,UTR6510828410,2026-08-08,False,UPI,
setl_4d012927c4b7cd,pay_90720fc9418d42,order_1155,1499,29.98,5.4,1463.62,UTR5154717862,2026-08-05,False,Netbanking,
setl_0a620dc3ba8687,pay_b325b4de812445,order_1130,4999,99.98,18.0,4881.02,UTR7927950813,2026-08-07,False,UPI,
setl_d11b26eecb2070,pay_547fe63633c599,order_1406,1499,29.98,5.4,1463.62,UTR8301377329,2026-08-14,False,Card,
setl_c1e1b01e74d4e3,pay_1435f72da9cdf5,order_1398,1499,29.98,5.4,1463.62,UTR3235564720,2026-08-08,False,Netbanking,
setl_a3267a6b2c0161,pay_62777d29f244ed,order_1255,499,9.98,1.8,487.22,UTR5014410308,2026-08-23,False,UPI,
setl_c6ac9901d01714,pay_f7c2ec03f3081b,order_1097,9999,199.98,36.0,9763.02,UTR5334930042,2026-08-07,False,Card,
setl_a6ba448969b2fb,pay_9e13adf1553578,order_1454,999,19.98,3.6,675.72,UTR9372856246,2026-08-16,False,UPI,
setl_c41c76a7826c8f,pay_6a60a8a9c9b1e1,order_1109,999,19.98,3.6,975.42,UTR5077921573,2026-08-12,False,Netbanking,
setl_42c1be083c7359,pay_bf2d29f7c0c7f6,order_1480,2499,49.98,8.5,2440.52,UTR5501528110,2026-08-20,False,UPI,
setl_ffd5d023ae69da,pay_b133a0e3be03dd,order_1360,999,19.98,4.1,974.92,UTR6465839535,2026-08-23,False,UPI,
setl_1fa011777e0b43,pay_ede625132d0046,order_1467,4999,99.98,18.0,4881.02,UTR8286145992,2026-08-05,False,UPI,
setl_59acbc086fa2e0,pay_17df63669180e7,order_1190,999,19.98,3.6,975.42,UTR3010409194,2026-08-11,False,UPI,
setl_b78632ae469c4c,pay_2d1353bf47f584,order_1273,9999,199.98,37.0,9762.02,UTR7211200186,2026-08-18,False,Card,
setl_206d6d76da949b,pay_2442244c5fb797,order_1065,2499,49.98,9.0,2440.02,UTR6665653122,2026-08-13,False,Card,
setl_56b6c5ca36788d,pay_a56bc719f41f26,order_1258,2499,49.98,9.0,2440.02,UTR4213853162,2026-08-05,False,UPI,
setl_90aa2020758d45,pay_f259caa46f33e1,order_1077,9999,199.98,36.0,9763.02,UTR4865030023,2026-08-11,False,Card,
setl_ae0aba846a84be,pay_c5020cf15f20ca,order_1201,499,9.98,1.8,487.22,UTR7029868098,2026-08-11,False,UPI,
setl_48ca8fbd781148,pay_50340961c7ebc2,order_1475,499,9.98,1.8,487.22,UTR8901600076,2026-08-10,False,UPI,
setl_007e781bbe7b3f,pay_7050bd681b95f7,order_1387,499,9.98,1.8,487.22,UTR8965627556,2026-08-13,False,Card,
setl_a485a8a1c20e87_dup,pay_b7a9acf464a574,order_1334,999,19.98,3.6,975.42,UTR8561022829,2026-08-05,False,UPI,
setl_eb8669439face0,pay_87b6f4d123ce3e,order_1405,2499,49.98,9.0,2440.02,UTR5956589581,2026-08-16,False,Wallet,
setl_5eb40f1b7cba7c,pay_4dd1e37960d23c,order_1017,499,9.98,1.8,487.22,UTR6246716604,2026-08-12,False,UPI,
setl_b345d591b1efea,pay_cb71dd02188662,order_1301,9999,199.98,36.0,9763.02,UTR1359873139,2026-08-16,False,UPI,
setl_ab61c88a89ee8f,pay_381363a9f88bc9,order_1132,1499,29.98,5.4,1463.62,UTR8412545268,2026-08-16,False,UPI,
setl_ed300984ae19a7,pay_51d6679bf068be,order_1197,2499,49.98,9.0,2440.02,UTR5987889148,2026-08-03,False,UPI,
setl_ba955fb6a75b8e,pay_9c52cd02b21851,order_1085,4999,99.98,18.0,4881.02,UTR6048096802,2026-08-14,False,Card,
setl_2f3228f362a609,pay_473777b54c1daa,order_1068,999,19.98,3.6,975.42,UTR7838460497,2026-08-17,False,UPI,
setl_9fab81ec9a8539,pay_bbcbf69a2cafff,order_1299,999,19.98,3.6,975.42,UTR2554627667,2026-08-13,True,UPI,
setl_50a0d69074169b,pay_77a2cc6bbd2fc2,order_1249,999,19.98,3.6,975.42,UTR4010582093,2026-08-10,False,Card,
setl_541566d9008931,pay_13bca296f7d229,order_1188,2499,49.98,9.0,2440.02,UTR4658585732,2026-08-09,False,UPI,
setl_742c247fc0572e,pay_a41d3fa65a59bd,order_1169,9999,199.98,36.0,9763.02,UTR2225124755,2026-08-20,False,Card,
setl_6ce9a2d2b64c7a,pay_becb117586c8f6,order_1142,499,9.98,1.8,487.22,UTR5125032122,2026-08-07,False,Card,
setl_69f5a54c73f579,pay_65a980b9461284,order_1209,499,9.98,1.8,487.22,UTR9598728606,2026-08-07,False,UPI,
setl_a250af242d9b5f,pay_58a7ecc1c414ca,order_1462,9999,199.98,36.0,9763.02,UTR3813875271,2026-08-15,False,Netbanking,
setl_45bac99fa58b1a,pay_ca2650adf2e160,order_1100,999,19.98,3.6,975.42,UTR2653032484,2026-08-18,False,Card,
setl_fd22b9d180127b,pay_81a2261e497a94,order_1195,9999,199.98,36.0,9763.02,UTR8412733036,2026-08-22,True,Card,
setl_ec54cd5e60df6b,pay_83cc052ca6a1e3,order_1494,2499,49.98,9.0,2440.02,UTR6054647130,2026-08-09,False,UPI,
setl_aeff59ef5c3592,pay_c0b905fe68bc18,order_1498,1499,29.98,5.4,1463.62,UTR1303489603,2026-08-15,False,UPI,
setl_53d62aa61cc6bb,pay_9f8ed2c604ab22,order_1072,1499,29.98,5.4,1463.62,UTR9376277483,2026-08-17,False,Card,
setl_af5bf19c0e62d3,pay_eff9efe12462fc,order_1368,1499,29.98,5.4,1463.62,UTR5395659971,2026-08-19,False,Netbanking,
setl_256331f112cb80,pay_334e8f138b597f,order_1177,1499,29.98,5.4,1013.92,UTR5791992101,2026-08-18,False,UPI,
setl_286682945b2250,pay_ddebac89cf42a2,order_1106,9999,199.98,36.0,9763.02,UTR6588417397,2026-08-22,False,Card,
setl_e275e2528c799b,pay_34e8a7759ae515,order_1318,9999,199.98,36.0,9763.02,UTR6341172911,2026-08-15,False,UPI,
setl_e2e762baf32b02,pay_953a5c51bd6377,order_1164,2499,49.98,9.0,2440.02,UTR2796257670,2026-08-17,False,UPI,
setl_a91d78a9b40592,pay_c79e032f96c313,order_1040,9999,199.98,36.0,6763.32,UTR2548781344,2026-08-05,False,UPI,
setl_d8ace1103354da,pay_979676c5623a51,order_1219,1499,29.98,5.4,1013.92,UTR5286358927,2026-08-09,False,Card,
setl_bec9f0bd12205a,pay_b6627ef5360393,order_1293,999,19.98,3.6,975.42,UTR7003585379,2026-08-12,False,UPI,
setl_4b32347a4c1f62,pay_0d13a2319de31b,order_1229,2499,49.98,9.0,2440.02,UTR8451459487,2026-08-16,False,UPI,
setl_edee66561351b5,pay_d075eb811278d1,order_1039,999,19.98,3.6,975.42,UTR5459478267,2026-08-07,False,UPI,
setl_423bb0b9af2f6d,pay_b3d62c9cdb722b,order_1239,499,9.98,1.8,487.22,UTR3035280879,2026-08-06,False,UPI,
setl_e976d63607bb4e,pay_d20a2eaf22cdeb,order_1153,4999,99.98,18.0,4881.02,UTR9752563670,2026-08-14,False,Card,
setl_d59bd3d1ba5726,pay_707f4c3c8565dd,order_1351,1499,29.98,5.4,1463.62,UTR6800756648,2026-08-18,False,UPI,
setl_cce2a910d5d43a,pay_593f9256b49366,order_1237,999,19.98,4.6,974.42,UTR2217162916,2026-08-22,False,Card,
setl_23e0373f8e1b8b,pay_2460c895a7b476,order_1420,1499,29.98,5.4,1463.62,UTR8728627585,2026-08-19,False,UPI,
setl_c472d9f4a66244,pay_415f1b6e7a1b3d,order_1189,4999,99.98,18.0,4881.02,UTR4896945119,2026-08-17,False,Card,
setl_3b78ccb7c53cb3,pay_e04dc669a78c26,order_1220,2499,49.98,9.0,2440.02,UTR5424263300,2026-08-20,False,Card,
setl_73447cb99c2435,pay_4dc1265ec31a1e,order_1330,1499,29.98,5.4,1463.62,UTR4074495141,2026-08-12,False,Card,
setl_c3a39b4f0de393,pay_253be973e21b56,order_1075,2499,49.98,9.0,2440.02,UTR3775278048,2026-08-12,False,Netbanking,
setl_75ef98ba002d32,pay_114f2fa30fe482,order_1242,4999,99.98,18.0,4881.02,UTR7836656538,2026-08-09,False,UPI,
setl_3ae7c6a30705fe,pay_556c18c33acb1f,order_1414,9999,199.98,36.0,9763.02,UTR4597117220,2026-08-13,False,Netbanking,
setl_eff3fc25ff4cc7,pay_a4fece86cf608e,order_1319,999,19.98,3.6,975.42,UTR9593556142,2026-08-17,False,UPI,
setl_d43bb0271c6646,pay_26b88e9bced19c,order_1232,999,19.98,3.6,975.42,UTR1576951818,2026-08-14,False,UPI,
setl_fce0b5ecdc4c1d,pay_ecde331ce692ed,order_1009,2499,49.98,8.5,2440.52,UTR9239688178,2026-08-10,False,UPI,
setl_eb50af84fd81c7,pay_3329b1379a0bdc,order_1332,4999,99.98,18.0,4881.02,UTR6345912504,2026-08-10,False,Card,
setl_65808484c5373a,pay_23a887fa91034b,order_1390,2499,49.98,9.0,2440.02,UTR1919649089,2026-08-18,False,UPI,
setl_df87a6d710c448,pay_2abaf872570502,order_1070,999,19.98,3.6,675.72,UTR3193894984,2026-08-17,False,UPI,
setl_8d02a0dad4e062,pay_7d80e397619389,order_1143,9999,199.98,36.0,9763.02,UTR7781608576,2026-08-12,False,UPI,
setl_e087347a8e2035,pay_861a7ca2384b03,order_1436,9999,199.98,36.0,9763.02,UTR1229352711,2026-08-06,False,UPI,
setl_acbdef8e9a16d2,pay_7f46ed8bce7476,order_1014,1499,29.98,5.4,1013.92,UTR2405969000,2026-08-15,False,UPI,
setl_4bc86b72d0e7af,pay_7fc37a3b5ac126,order_1156,9999,199.98,36.0,9763.02,UTR8920947409,2026-08-04,False,Netbanking,
setl_11bb5e19ffa5a9,pay_7acede02c32193,order_1370,499,9.98,1.8,487.22,UTR1348560665,2026-08-07,False,Card,
setl_cd0f59ffd58451,pay_b35353f49e2a6c,order_1338,499,9.98,1.8,487.22,UTR4657104313,2026-08-21,False,Netbanking,
setl_42701036c75b01,pay_4312177b752f0f,order_1127,999,19.98,3.6,975.42,UTR2685438702,2026-08-04,False,UPI,
setl_fa610ae411df34_dup,pay_0d625dff9710b6,order_1487,2499,49.98,9.0,2440.02,UTR2391273095,2026-08-20,False,Card,
setl_1dc629cd4edd2c,pay_5ae38c1decc55e,order_1440,499,9.98,1.8,487.22,UTR7502144996,2026-08-03,False,UPI,
setl_3be5f04815d02e,pay_43d9cb5c9dfdb1,order_1474,1499,29.98,5.4,1463.62,UTR3128551265,2026-08-12,False,UPI,
setl_f48ed5a8ad9acc,pay_d4717fe717e9fd,order_1404,999,19.98,3.6,975.42,UTR4500105668,2026-08-10,False,UPI,
setl_597a10c09f1809,pay_202c4e6a9d2464,order_1233,1499,29.98,5.4,1463.62,UTR7139456572,2026-08-18,False,Card,
setl_d894a75454afa3,pay_bb4ed7348990ff,order_1093,4999,99.98,18.5,4880.52,UTR4864126433,2026-08-10,False,Netbanking,
setl_0d7424b6a3c8c2,pay_35bbc7d25d13fc,order_1200,2499,49.98,9.0,2440.02,UTR9237833434,2026-08-16,False,UPI,
setl_39978c5a311383,pay_a3b709813d1e80,order_1333,2499,49.98,9.0,2440.02,UTR3445250621,2026-08-12,False,UPI,
setl_b9711b29fcc351,pay_b174382bd04559,order_1316,9999,199.98,36.0,9763.02,UTR4713368213,2026-08-10,False,Card,
setl_696dcf1530bcab,pay_28b761ea8ed71f,order_1210,999,19.98,3.6,975.42,UTR7980337876,2026-08-05,False,Card,
setl_4a5408deb797c1,pay_0eba11d78816f4,order_1483,9999,199.98,36.0,9763.02,UTR8170525675,2026-08-23,False,Card,
setl_b74e3512e20752,pay_b61be43c549b18,order_1280,1499,29.98,5.4,1463.62,UTR9631741253,2026-08-05,False,Wallet,
setl_b4073e50aeda21,pay_492d1b11133483,order_1098,4999,99.98,18.0,4881.02,UTR6287793163,2026-08-05,False,UPI,
setl_8d7e71eb8eca91,pay_340ca158f98dd6,order_1089,2499,49.98,9.0,2440.02,UTR1827752234,2026-08-08,False,UPI,disp_6fad4ee166547d
setl_bde3becdb4de20,pay_058b4d9a34f0c2,order_1238,2499,49.98,9.0,2440.02,UTR6975857369,2026-08-13,False,UPI,
setl_b872d234bb361e,pay_696e155ab96ecf,order_1124,2499,49.98,9.0,1690.32,UTR1231178500,2026-08-20,False,UPI,
setl_d781f4e931c3dc,pay_6a3b6a3db7b7b9,order_1371,999,19.98,4.6,974.42,UTR8046301787,2026-08-08,False,UPI,
setl_836c4e2d60dcaa,pay_ff853e4caaaaa8,order_1327,499,9.98,1.8,487.22,UTR7091421469,2026-08-15,False,Card,
setl_5df48b022bb193,pay_af5037897ab1c3,order_1102,2499,49.98,9.0,1690.32,UTR4356175095,2026-08-09,False,UPI,
setl_d29eaa90be8673,pay_2dfbe4f13dbc12,order_1455,4999,99.98,18.0,4881.02,UTR2481794225,2026-08-17,False,UPI,
setl_720fd6fedeb32f,pay_6752d5f56c8131,order_1047,2499,49.98,9.0,2440.02,UTR9070568519,2026-08-18,False,UPI,
setl_598ca7e8b68271,pay_817ce75b5a76df,order_1456,2499,49.98,9.0,2440.02,UTR5566932954,2026-08-08,False,UPI,
setl_9bde6c9db6f98a,pay_7236fef3a332f7,order_1140,9999,199.98,36.0,9763.02,UTR3236170837,2026-08-04,False,UPI,
setl_a9da2174408470,pay_3239ca2c7cc7e9,order_1035,1499,29.98,5.4,1463.62,UTR9977755129,2026-08-05,False,UPI,
setl_92d8c53f8512a9,pay_6f1d86ff3d30b5,order_1346,9999,199.98,36.0,9763.02,UTR6163393045,2026-08-07,False,Wallet,
setl_6a8a0ceec5d4c3,pay_f0d494f0d60673,order_1295,499,9.98,1.8,487.22,UTR7964420564,2026-08-13,False,UPI,
setl_1678fc24f4f0f3,pay_7c8226becd855a,order_1252,2499,49.98,9.0,2440.02,UTR5172725742,2026-08-18,False,UPI,
setl_d5a0329ccca749,pay_abbd19517469a9,order_1151,2499,49.98,9.0,2440.02,UTR9063480483,2026-08-09,False,Card,
setl_3022a93bc29b1d_dup,pay_6cd4108f5acacf,order_1015,1499,29.98,5.4,1463.62,UTR3485432021,2026-08-06,False,Card,
setl_18f390dd5be9f8,pay_cc00e2bd26d0a0,order_1315,9999,199.98,36.0,9763.02,UTR1264069218,2026-08-15,False,Card,
setl_35cfde8991724e_dup,pay_68b57f00402e0f,order_1133,999,19.98,3.6,975.42,UTR2289789131,2026-08-10,False,UPI,
setl_f5d9ed77cd98a9,pay_3871968bcc044a,order_1392,4999,99.98,18.0,4881.02,UTR7310716144,2026-08-07,True,Card,
setl_435a1714e08a10,pay_16bac67d242641,order_1356,4999,99.98,19.0,4880.02,UTR5314986270,2026-08-03,False,UPI,
