match_key,expected,group
settlement:setl_696dcf1530bcab,MATCHED,
settlement:setl_9a91214938c3af,MATCHED,
settlement:setl_46703190bf6132,MATCHED,
settlement:setl_71fe6ebc0c0961,MATCHED,
settlement:setl_3191c39a46b73c,MATCHED,
settlement:setl_a3137b7bd95451,MATCHED,
settlement:setl_ae5f34342d3324,MATCHED,
settlement:setl_3659f30938c50c,PARTIAL_PAYMENT,
settlement:setl_9aca3e733662d4,MATCHED,
settlement:setl_d8ace1103354da,PARTIAL_PAYMENT,
settlement:setl_3b78ccb7c53cb3,MATCHED,
settlement:setl_2f5a99df368319,MATCHED,
settlement:setl_e6f26b6e3d4da2,MATCHED,
settlement:setl_5dc6dd62966ab1,MATCHED,
settlement:setl_300aa756304b2a,MATCHED,
settlement:setl_530a3bdcabe640,MATCHED,
settlement:setl_8d5a9e663150a0,MATCHED,
settlement:setl_bafb5ae5d75996,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_54ac8fa40d538e,MATCHED,
settlement:setl_4b32347a4c1f62,UTR_LEVEL_MISMATCH,
settlement:setl_b3e0db5666b64f,MATCHED,
settlement:setl_daaba47a49fd0c,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_d43bb0271c6646,UTR_LEVEL_MISMATCH,
settlement:setl_597a10c09f1809,MATCHED,
settlement:setl_18fc37ad8a0af5,MATCHED,
settlement:setl_decb071dff7ef7,MATCHED,
settlement:setl_b1bdec9a6bb6a8,MATCHED,
settlement:setl_cce2a910d5d43a,TAX_DEDUCTION,
settlement:setl_bde3becdb4de20,MATCHED,
settlement:setl_423bb0b9af2f6d,MATCHED,
settlement:setl_17d6a7011ae39f,MATCHED,
settlement:setl_9bc1cfe2928c12,PARTIAL_PAYMENT,
settlement:setl_75ef98ba002d32,MATCHED,
settlement:setl_35ad962f609111,,dup_243
settlement:setl_35ad962f609111_dup,,dup_243
settlement:setl_15944105c2cac8,MATCHED,
settlement:setl_846fed4df6511b,MATCHED,
settlement:setl_bbbb3bfde899fa,MATCHED,
settlement:setl_934ead07975955,MATCHED,
settlement:setl_fa72b0eb142650,MATCHED,
settlement:setl_50a0d69074169b,MATCHED,
settlement:setl_91064a3578a444,MATCHED,
settlement:setl_5b5c85a36e2b19,MATCHED,
settlement:setl_1678fc24f4f0f3,MATCHED,
settlement:setl_441384af42d0ff,MATCHED,
settlement:setl_f8fcc1b6ada8d3,MATCHED,
settlement:setl_a3267a6b2c0161,MATCHED,
settlement:setl_520ba1d148d2e0,,dup_256
settlement:setl_520ba1d148d2e0_dup,,dup_256
settlement:setl_026526ea94e475,MATCHED,
settlement:setl_56b6c5ca36788d,MATCHED,
settlement:setl_e633b1b2bb6019,MATCHED,
settlement:setl_10a92266f7b494,MATCHED,
settlement:setl_2ca3119d04819c,MATCHED,
settlement:setl_52a5e88c0c7d02,MATCHED,
settlement:setl_0ba3f9f9f10c4d,MATCHED,
settlement:setl_5469a7895167ef,ROUNDING,
settlement:setl_1f6661593b178f,MATCHED,
settlement:setl_4bd8a4d1e5c256,MATCHED,
settlement:setl_e75ca4bffdaa90,MATCHED,
bank_orphan:UTR1445869324,UNEXPLAINED,
settlement:setl_f5c7eac6fc84a4,MATCHED,
settlement:setl_2af2e861c8acda,MATCHED,
settlement:setl_483ccca4eaa917,MATCHED,
settlement:setl_24eaad155f9084,MATCHED,
settlement:setl_b78632ae469c4c,TAX_DEDUCTION,
settlement:setl_861c62335250bb,MATCHED,
settlement:setl_f6125694adfe4d,MATCHED,
settlement:setl_df13d2fdb31bcd,MATCHED,
settlement:setl_eaa83774c71cb5,MATCHED,
settlement:setl_35fd8c3424da2e,MATCHED,
settlement:setl_e33249810311e9,MATCHED,
settlement:setl_b74e3512e20752,MATCHED,
settlement:setl_bf47505becde91,MATCHED,
settlement:setl_7f84ae66f40859,MATCHED,
bank_orphan:UTR5641648217,UNEXPLAINED,
settlement:setl_46344e72cd18b8,ON_HOLD_BY_RAZORPAY,
settlement:setl_d2a7c8d14f19d9,MATCHED,
settlement:setl_b1091137d7016f,MATCHED,
settlement:setl_6607904ae90ef7,MATCHED_EXACT_REFERENCE,
settlement:setl_6ea67a9ec825f5,MATCHED,
settlement:setl_191d1c9de5b6f9,MATCHED,
settlement:setl_5afb833d85edc7,PARTIAL_PAYMENT,
settlement:setl_9de860b17e4054,MATCHED,
settlement:setl_e72b17357ce3e0,PARTIAL_PAYMENT,
settlement:setl_bec9f0bd12205a,MATCHED,
settlement:setl_b80eb9432f3b35,PARTIAL_PAYMENT,
settlement:setl_6a8a0ceec5d4c3,MATCHED,
settlement:setl_be20cf1385695a,MATCHED,
settlement:setl_12c4d2a29010ad,UTR_LEVEL_MISMATCH,
settlement:setl_a164095fe5f405,MATCHED,
settlement:setl_9fab81ec9a8539,ON_HOLD_BY_RAZORPAY,
settlement:setl_e3eaa9c516827e,MATCHED,
settlement:setl_b345d591b1efea,MATCHED,
settlement:setl_46cf0feb64e552,MATCHED,
settlement:setl_0d03f9b8d41bd7,MATCHED,
settlement:setl_01b838dafa39d3,PARTIAL_PAYMENT,
settlement:setl_9a7a24347c6571,MATCHED,
settlement:setl_c0c45676e4b5d4,MATCHED,
settlement:setl_6b4256830dc88c,PARTIAL_PAYMENT,
settlement:setl_d92bc394580434,MATCHED,
settlement:setl_c77142a183f916,MATCHED,
settlement:setl_78bbe6120813d1,MATCHED,
settlement:setl_59735bfe2b7527,MATCHED,
settlement:setl_9648a12b441c9c,MATCHED,
settlement:setl_36cb5d51932a42,MATCHED,
settlement:setl_b07804154e9047,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_18f390dd5be9f8,MATCHED,
settlement:setl_b9711b29fcc351,MATCHED,
settlement:setl_5a7ad0d683b5cc,MATCHED,
settlement:setl_e275e2528c799b,MATCHED,
settlement:setl_eff3fc25ff4cc7,MATCHED,
settlement:setl_7673e65e654ad9,MATCHED,
settlement:setl_5a646d0f62ad71,MATCHED,
settlement:setl_585cf86a25e93d,MATCHED,
settlement:setl_950b311ba64fb3,MATCHED,
settlement:setl_ed613448d3c57c,MATCHED,
settlement:setl_39b976987855d2,MATCHED,
settlement:setl_996cc4bf686f16,PARTIAL_PAYMENT,
settlement:setl_836c4e2d60dcaa,MATCHED,
settlement:setl_a8dd25d2ee54e3,ON_HOLD_BY_RAZORPAY,
settlement:setl_164b1ca807b46d,MATCHED,
settlement:setl_73447cb99c2435,MATCHED,
settlement:setl_bf69252d55d728,MATCHED,
settlement:setl_eb50af84fd81c7,MATCHED,
settlement:setl_39978c5a311383,,dup_333
settlement:setl_39978c5a311383_dup,,dup_333
settlement:setl_a485a8a1c20e87,,dup_334
settlement:setl_a485a8a1c20e87_dup,,dup_334
settlement:setl_22ccd92ffacc4e,MATCHED,
settlement:setl_3b455c58338d13,MATCHED,
settlement:setl_fbdd998758a8db,PARTIAL_PAYMENT,
settlement:setl_cd0f59ffd58451,MATCHED,
settlement:setl_d6090d03643a57,MATCHED,
settlement:setl_ec0ef1f0dd3073,MATCHED,
settlement:setl_f066f1541fa3ba,MATCHED,
settlement:setl_2efbc2e1274ae4,MATCHED,
settlement:setl_6e7dc07e458fa1,ROUNDING,
settlement:setl_ec26a9e0e60322,MATCHED,
settlement:setl_25dc71dc4c6081,MATCHED,
settlement:setl_92d8c53f8512a9,UTR_LEVEL_MISMATCH,
settlement:setl_62dccf3ca63d1f,MATCHED,
settlement:setl_92ecbef0d4a62b,MATCHED,
settlement:setl_df11c379a1cb8d,MATCHED_EXACT_REFERENCE,
settlement:setl_d06cb6e32a5460,MATCHED,
settlement:setl_d59bd3d1ba5726,MATCHED,
order_only:order_1352,AFA_MANDATE_HOLD,
settlement:setl_f32869e64c5c65,MATCHED,
settlement:setl_a8f790976f2880,UTR_LEVEL_MISMATCH,
settlement:setl_f9df0c9c11623f,MATCHED,
settlement:setl_435a1714e08a10,TAX_DEDUCTION,
settlement:setl_e22d008ffc4452,MATCHED,
settlement:setl_00f7dac9d1ae9b,MATCHED,
settlement:setl_80f49e8ab8043f,UTR_LEVEL_MISMATCH,
settlement:setl_ffd5d023ae69da,ROUNDING,
settlement:setl_725f4ae684911d,MATCHED,
settlement:setl_fcb002d427e06f,MATCHED,
settlement:setl_e521369dc13a91,MATCHED,
settlement:setl_642b6406edf2a3,MATCHED,
settlement:setl_c6a321a4dc9038,MATCHED,
settlement:setl_9c8a0110ed51e5,MATCHED,
settlement:setl_87fbefa27c2662,MATCHED,
settlement:setl_af5bf19c0e62d3,MATCHED,
settlement:setl_06e60ab5cdc65f,MATCHED,
settlement:setl_11bb5e19ffa5a9,MATCHED,
settlement:setl_d781f4e931c3dc,TAX_DEDUCTION,
settlement:setl_7fa5ceb9f9b55c,MATCHED,
settlement:setl_025fa60ca29216,MATCHED,
settlement:setl_928737fa549998,MATCHED,
settlement:setl_efc9eb9d39e5e6,MATCHED,
settlement:setl_7245f98daf91bb,MATCHED,
settlement:setl_5e73949500572d,MATCHED,
settlement:setl_f3cf56c788a62d,MATCHED,
settlement:setl_a0c7ab809390b9,MATCHED,
settlement:setl_fac3161e3cb4b3,MATCHED,
settlement:setl_784fd39ed9dfe4,MATCHED,
settlement:setl_eba0e7013d984b,MATCHED,
settlement:setl_f3bcf09d8bcbb4,MATCHED,
settlement:setl_8569e557cd208d,PARTIAL_PAYMENT,
settlement:setl_fbac75d5e8d356,PARTIAL_PAYMENT,
settlement:setl_043da171fa0955,MATCHED,
settlement:setl_007e781bbe7b3f,MATCHED,
settlement:setl_827d096af1736b,MATCHED,
settlement:setl_6be58606b11ea7,MATCHED,
settlement:setl_65808484c5373a,MATCHED,
settlement:setl_3406dc0ae69db2,MATCHED,
settlement:setl_f5d9ed77cd98a9,ON_HOLD_BY_RAZORPAY,
settlement:setl_5a49a39ccb3ab8,MATCHED,
settlement:setl_16861c47e8d864,MATCHED,
settlement:setl_a01fb4339ce530,ROUNDING,
settlement:setl_40a6dd73d672ed,MATCHED,
settlement:setl_54be6efa9a1b09,,dup_397
settlement:setl_54be6efa9a1b09_dup,,dup_397
settlement:setl_c1e1b01e74d4e3,MATCHED,
settlement:setl_4c8c85282c524d,MATCHED,
settlement:setl_07ca6868ff59bb,MATCHED,
settlement:setl_2dcba43037777e,,dup_401
settlement:setl_2dcba43037777e_dup,,dup_401
settlement:setl_3e2f2b403806c7,MATCHED,
settlement:setl_a2c394300263ce,MATCHED,
settlement:setl_f48ed5a8ad9acc,MATCHED,
settlement:setl_eb8669439face0,MATCHED,
settlement:setl_d11b26eecb2070,MATCHED,
settlement:setl_8d4194ab19b0da,MATCHED,
settlement:setl_f2b455376eaab4,MATCHED,
settlement:setl_65e9b0cf67f2e3,MATCHED,
settlement:setl_8ef996fc7b88c0,MATCHED,
settlement:setl_33d3001c8ef0db,MATCHED,
bank_orphan:UTR5221152318,UNEXPLAINED,
settlement:setl_c512c840ecc112,PARTIAL_PAYMENT,
settlement:setl_3ae7c6a30705fe,MATCHED,
settlement:setl_d4d04f24625618,MATCHED,
settlement:setl_04cce1bed8ea16,PARTIAL_PAYMENT,
settlement:setl_2eb1c7b2bda36a,MATCHED,
settlement:setl_019bb9d9f3b330,MATCHED,
settlement:setl_3a35dda7f6462c,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_23e0373f8e1b8b,MATCHED,
settlement:setl_f5b890314c4c9a,MATCHED,
settlement:setl_78b1f8b3350091,MATCHED,
settlement:setl_ce18390bec82bf,MATCHED,
settlement:setl_4a21e7058ae1c3,MATCHED,
settlement:setl_72d759ecd34c71,UTR_LEVEL_MISMATCH,
settlement:setl_5845226d3c3a89,MATCHED,
settlement:setl_13f1c85cb9bf5a,TAX_DEDUCTION,
settlement:setl_90435558869324,PARTIAL_PAYMENT,
settlement:setl_fe214016d1880a,MATCHED,
settlement:setl_440ec2bd61f470,PARTIAL_PAYMENT,
settlement:setl_6449d8ecb5882f,MATCHED,
settlement:setl_c1b77e10f31a72,MATCHED_EXACT_REFERENCE,
settlement:setl_02df01c129e367,MATCHED,
settlement:setl_f3d2392345140b,MATCHED,
settlement:setl_d0e569dc6a1f3f,MATCHED,
settlement:setl_e087347a8e2035,MATCHED,
settlement:setl_99f69cdadacbac,MATCHED,
settlement:setl_c3cc69f09082a7,MATCHED,
settlement:setl_defe12b958d295,MATCHED,
settlement:setl_1dc629cd4edd2c,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_9449d57cd8dfaa,MATCHED,
settlement:setl_a7602b9c468813,MATCHED,
settlement:setl_1c38a2795131a4,MATCHED,
settlement:setl_7ca220217d82a4,MATCHED,
settlement:setl_0c9b6af7b6f36c,MATCHED,
settlement:setl_b8c2f29fcf88a3,MATCHED,
settlement:setl_2e5b8aa4787ceb,MATCHED,
settlement:setl_8d967dd283f0a5,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_428762d923fabd,MATCHED,
settlement:setl_59a1df1b50a8ff,PARTIAL_PAYMENT,
settlement:setl_d53c156141d332,UTR_LEVEL_MISMATCH,
settlement:setl_68fb889dc05388,MATCHED_EXACT_REFERENCE,
settlement:setl_65dcd484911bf0,MATCHED,
settlement:setl_a6ba448969b2fb,PARTIAL_PAYMENT,
settlement:setl_d29eaa90be8673,MATCHED,
settlement:setl_598ca7e8b68271,MATCHED,
settlement:setl_165d1482e55fcd,MATCHED,
settlement:setl_27dd722103e787,UTR_LEVEL_MISMATCH,
settlement:setl_ca78d7abbea538,MATCHED,
settlement:setl_a2efba134d80de,MATCHED,
settlement:setl_9b116221b7baec,MATCHED,
settlement:setl_a250af242d9b5f,MATCHED,
settlement:setl_c2d41b22701978,ON_HOLD_BY_RAZORPAY,
settlement:setl_3b4319e67ea5e4,MATCHED_EXACT_REFERENCE,
settlement:setl_b6374f76001b51,MATCHED,
bank_orphan:UTR2729067297,UNEXPLAINED,
settlement:setl_1fa011777e0b43,MATCHED,
settlement:setl_aa39ad68466134,PARTIAL_PAYMENT,
bank_orphan:UTR2114507446,UNEXPLAINED,
bank_orphan:UTR9516301686,UNEXPLAINED,
settlement:setl_ae87d42a887c9f,MATCHED,
settlement:setl_b5c7cca64096ad,MATCHED,
settlement:setl_289c38889e247f,MATCHED,
settlement:setl_3be5f04815d02e,MATCHED,
settlement:setl_48ca8fbd781148,MATCHED,
settlement:setl_d59fc01292dcf3,MATCHED,
settlement:setl_600a9c4f40efa4,MATCHED,
settlement:setl_3cc02d5cecd26b,MATCHED,
settlement:setl_1014f1edd4caf0,MATCHED,
settlement:setl_42c1be083c7359,ROUNDING,
settlement:setl_645a523e1f2b7c,MATCHED,
settlement:setl_8c1cfd4b36ff58,MATCHED,
settlement:setl_4a5408deb797c1,MATCHED,
settlement:setl_4f7bd1da43cdf8,MATCHED_EXACT_REFERENCE,
settlement:setl_f8809e21d03e0b,MATCHED,
settlement:setl_e453f9cc4cc825,PARTIAL_PAYMENT,
settlement:setl_fa610ae411df34,,dup_487
settlement:setl_fa610ae411df34_dup,,dup_487
settlement:setl_29c8888a18aac1,MATCHED,
settlement:setl_641dcf9efc58f1,MATCHED,
settlement:setl_597cee4b42d547,MATCHED,
settlement:setl_2d72285bc018fd,MATCHED,
settlement:setl_5027cfa56b05fd,MATCHED,
settlement:setl_29799d624fc6bf,MATCHED,
settlement:setl_ec54cd5e60df6b,,dup_494
settlement:setl_ec54cd5e60df6b_dup,,dup_494
order_only:order_1495,AFA_MANDATE_HOLD,
