utr,credited_amount,value_date,narration
UTR9991312028,9763.02,2026-08-19,NEFT CR RAZORPAY SETTLEMENT setl_5925fb69f46cda
UTR2388450337,1463.62,2026-08-11,NEFT CR RAZORPAY SETTLEMENT setl_a7155ad5b4fd87
UTR8823677798,9763.02,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_69324e96256d7a
UTR3188382776,1463.62,2026-08-09,NEFT CR RAZORPAY SETTLEMENT setl_96f5241899cbda
UTR2513206988,1463.62,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_399f4fa49ab097
UTR9807209816,4881.02,2026-08-06,NEFT CR RAZORPAY SETTLEMENT setl_af165d337643e7
UTR8886432673,2440.02,2026-08-08,NEFT CR RAZORPAY SETTLEMENT setl_e7ac440ca3bd0e
UTR3079537716,9763.02,2026-08-23,NEFT CR RAZORPAY SETTLEMENT setl_edb0235a852e55
UTR2764265618,1690.32,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_bd9ad775c6edf3
UTR1526723719,2440.02,2026-08-09,NEFT CR RAZORPAY SETTLEMENT setl_554f028e1cb39b
UTR5170814022,675.72,2026-08-23,NEFT CR RAZORPAY SETTLEMENT setl_3735f5ea04ffd1
UTR5536224717,487.22,2026-08-18,NEFT CR RAZORPAY SETTLEMENT setl_a2c7cc7e9a9da2
UTR6942989052,4881.02,2026-08-15,NEFT CR RAZORPAY SETTLEMENT setl_95d9db4912142b
UTR3619094295,4881.02,2026-08-19,NEFT CR RAZORPAY SETTLEMENT setl_9398f7cdf1a0bf
UTR5047709743,2440.02,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_9e63f8101ac616
UTR9776552803,1463.62,2026-08-22,NEFT CR RAZORPAY SETTLEMENT setl_a839c0cb52f511
UTR9810503338,4881.02,2026-08-21,NEFT CR RAZORPAY SETTLEMENT setl_b4d5af9cbb07fc
UTR3096929657,4881.02,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_6cf0e97f46ed8b
UTR2224011538,975.42,2026-08-14,NEFT CR RAZORPAY SETTLEMENT setl_2a7ee099188251
UTR9991206531,4881.02,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_d842e3f8413f4a
UTR1798112150,975.42,2026-08-04,NEFT CR RAZORPAY SETTLEMENT setl_ff8b24f98b098d
UTR2242377075,487.22,2026-08-07,NEFT CR RAZORPAY SETTLEMENT setl_a9ee3197ad3078
UTR9454334062,2440.02,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_ca2442667998ed
UTR1172893522,4881.02,2026-08-19,NEFT CR RAZORPAY SETTLEMENT setl_4678d99215f852
UTR3196545325,1463.62,2026-08-16,NEFT CR RAZORPAY SETTLEMENT setl_4a6f8f1f2f416b
UTR6899673770,9763.02,2026-08-22,NEFT CR RAZORPAY SETTLEMENT setl_1468eb41e49322
UTR4147025728,4881.02,2026-08-11,NEFT CR RAZORPAY SETTLEMENT setl_d3bdca79467ae1
UTR6719736115,1690.32,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_e90e5f9cb6123d
UTR6469318275,2440.02,2026-08-12,NEFT CR RAZORPAY SETTLEMENT setl_b1f932881fe71d
UTR6218484323,487.22,2026-08-23,NEFT CR RAZORPAY SETTLEMENT setl_7e52299b69486c
UTR1417436465,2440.02,2026-08-06,NEFT CR RAZORPAY SETTLEMENT setl_a79f59aa7ba100
UTR8636525027,2440.02,2026-08-17,NEFT CR RAZORPAY SETTLEMENT setl_242a00c3520b8b
UTR8755749566,9763.02,2026-08-07,NEFT CR RAZORPAY SETTLEMENT setl_a805a68b642833
UTR2928130926,2440.02,2026-08-22,NEFT CR RAZORPAY SETTLEMENT setl_05c262dcc276a3
UTR8498174646,2440.02,2026-08-12,NEFT CR RAZORPAY SETTLEMENT setl_b6105c9de1d398
UTR5092199300,9763.02,2026-08-08,NEFT CR RAZORPAY SETTLEMENT setl_6b50d5f4ff1a5c
UTR6910112521,675.72,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_ddf25f35ff4b79
UTR2419179580,487.22,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_bb6a5e7310890b
UTR9609047368,2440.02,2026-08-15,NEFT CR RAZORPAY SETTLEMENT setl_b88567ca2a6be7
UTR2395925222,1463.62,2026-08-03,NEFT CR RAZORPAY SETTLEMENT setl_9ec7d953e47c9a
UTR1589582865,3381.32,2026-08-11,NEFT CR RAZORPAY SETTLEMENT setl_e65c20f1eab3d4
UTR2963288053,9763.02,2026-08-22,NEFT CR RAZORPAY SETTLEMENT setl_c79e032f96c313
UTR1248786714,1463.62,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_4a92c8c8050eed
UTR2062073697,1463.62,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_70635c6cd4108f
UTR7098134112,975.42,2026-08-15,NEFT CR RAZORPAY SETTLEMENT setl_d42b450d962a0b
UTR4361393222,487.22,2026-08-21,NEFT CR RAZORPAY SETTLEMENT setl_49e9e6f39d3b4a
UTR7552812957,2440.02,2026-08-18,NEFT CR RAZORPAY SETTLEMENT setl_253fc37597f2e1
UTR7887897660,2440.02,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_124b941bbf8710
UTR3179320310,487.22,2026-08-22,NEFT CR RAZORPAY SETTLEMENT setl_520f8a6df6e044
UTR5785481124,4881.02,2026-08-18,NEFT CR RAZORPAY SETTLEMENT setl_8a67b729c3034c
UTR8471762590,9763.02,2026-08-07,NEFT CR RAZORPAY SETTLEMENT setl_c7386296c43146
UTR6955593943,9763.02,2026-08-17,NEFT CR RAZORPAY SETTLEMENT setl_e8f84c35cd515e
UTR1050899550,4881.02,2026-08-17,NEFT CR RAZORPAY SETTLEMENT setl_c6d3b0859a9770
UTR7313226025,2440.02,2026-08-17,NEFT CR RAZORPAY SETTLEMENT setl_49690f1ca41382
UTR1240251661,9763.02,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_4a5534ea92b26f
UTR_TRAP_AAAA,2440.02,2026-08-15,NEFT CR RAZORPAY SETTLEMENT setl_TRAP_A
UTR_TRAP_BBBB,2440.02,2026-08-15,NEFT CR RAZORPAY SETTLEMENT setl_TRAP_B
